Model,Accuracy,Precision,Recall,F1-Score,Training Time Seconds,Total Parameters,Trainable Parameters,Grad-CAM Quality,SHAP Interpretability,Overall Finding
Custom_CNN,0.5042735042735043,0.0,0.0,0.0,15.926368951797485,422337,421889,To be rated after visual inspection,To be rated after visual inspection,Fastest training
MobileNetV2,0.8888888888888888,0.9245283018867925,0.8448275862068966,0.8828828828828829,30.221609115600586,2422081,164097,To be rated after visual inspection,To be rated after visual inspection,"Compare accuracy, cost, and explanation quality"
ResNet50,0.9487179487179487,0.9642857142857143,0.9310344827586207,0.9473684210526315,54.154813051223755,24112513,524801,To be rated after visual inspection,To be rated after visual inspection,Best F1-score
